polarity	aspect	term	term_pos	sentence	input
negative	RESTAURANT#PRICES	The Four Seasons	0:16	"The Four Seasons has history and it is a sort of landmark of New York City restaurants, but trust me, they will charge you through the nose just so that you can say ""I've been to the four seasons restaurant""."	The Four Seasons 0:16 RESTAURANT#PRICES
positive	RESTAURANT#GENERAL	Cypriot restaurant	4:22	The Cypriot restaurant has a lot going for it.	Cypriot restaurant 4:22 RESTAURANT#GENERAL
negative	SERVICE#GENERAL	waitress	4:12	The waitress, seems to be more concerned of looking good than actually waitressing.	waitress 4:12 SERVICE#GENERAL
positive	FOOD#QUALITY	spreads	5:12	Good spreads, great beverage selections and bagels really tasty.	spreads 5:12 FOOD#QUALITY
positive	FOOD#QUALITY	green curry with vegetables	4:31	Try green curry with vegetables.	green curry with vegetables 4:31 FOOD#QUALITY
positive	SERVICE#GENERAL	waitstaff	54:63	The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.	waitstaff 54:63 SERVICE#GENERAL
positive	DRINKS#QUALITY	martinis	4:12	The martinis are amazing and very fairly priced.	martinis 4:12 DRINKS#QUALITY
negative	FOOD#QUALITY	smoked salmon and roe appetizer	14:45	I ordered the smoked salmon and roe appetizer and it was off flavor.	smoked salmon and roe appetizer 14:45 FOOD#QUALITY
positive	AMBIENCE#GENERAL	Zenkichi	95:103	I don’t usually visit the same establishment more than once, what more twice, but I’ll come to Zenkichi anytime for a quiet, unhurried and memorable dinner.	Zenkichi 95:103 AMBIENCE#GENERAL
positive	FOOD#STYLE_OPTIONS	pastas	26:32	The food is amazing, rich pastas and fresh doughy pizza.	pastas 26:32 FOOD#STYLE_OPTIONS
negative	FOOD#QUALITY	dessert	29:36	Someone else recommended the dessert - we also left that.	dessert 29:36 FOOD#QUALITY
positive	FOOD#QUALITY	salmon	43:49	I did not try the caviar but I tried their salmon and crab salad (they are all good)  	salmon 43:49 FOOD#QUALITY
negative	SERVICE#GENERAL	delivery	40:48	Average to good Thai food, but terrible delivery.	delivery 40:48 SERVICE#GENERAL
negative	FOOD#QUALITY	dinner	4:10	The dinner was ok, nothing I would have again.	dinner 4:10 FOOD#QUALITY
positive	DRINKS#STYLE_OPTIONS	bar	4:7	The bar is very well stocked with interesting beers and well priced wines.	bar 4:7 DRINKS#STYLE_OPTIONS
positive	FOOD#QUALITY	salads	4:10	the salads are delicious, both refreshing and very spicy.	salads 4:10 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	12:17	I love this place	place 12:17 RESTAURANT#GENERAL
positive	SERVICE#GENERAL	service	13:20	The wine the service was very good too.	service 13:20 SERVICE#GENERAL
positive	FOOD#QUALITY	pesto pizza	4:15	The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.	pesto pizza 4:15 FOOD#QUALITY
positive	AMBIENCE#GENERAL	ambiance	10:18	While the ambiance and atmosphere were great, the food and service could have been a lot better.	ambiance 10:18 AMBIENCE#GENERAL
negative	FOOD#STYLE_OPTIONS	pasta penne	4:15	The pasta penne was pretty extra buttery, creamy which means a big task to diggest.. tasty at first but i would say that i was full with a slice of pizza and 7 to count, penne...got a little moody afterwards cause was stuffed...lol	pasta penne 4:15 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	Lucky Strike	85:97	As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.	Lucky Strike 85:97 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	4:8	The food was exceptional.	food 4:8 FOOD#QUALITY
neutral	FOOD#QUALITY	frozen black sesame mousse	27:53	For desserts, we tried the frozen black sesame mousse (interesting but not extraordinary) and matcha (powdered green tea) and blueberry cheesecake, which was phenomenal.	frozen black sesame mousse 27:53 FOOD#QUALITY
positive	AMBIENCE#GENERAL	place	5:10	Cute place, nice wait staff but would never go there again.	place 5:10 AMBIENCE#GENERAL
positive	FOOD#QUALITY	cuisine	16:23	Not only is the cuisine the best around, the service has always been attentive and charming.	cuisine 16:23 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	portion sizes	22:35	The food is tasty and portion sizes are appropriate.	portion sizes 22:35 FOOD#STYLE_OPTIONS
positive	AMBIENCE#GENERAL	decor	73:78	Everything is always cooked to perfection, the service is excellent, the decor cool and understated.	decor 73:78 AMBIENCE#GENERAL
negative	RESTAURANT#MISCELLANEOUS	space	4:9	The space is limited so be prepared to wait up to 45 minutes - 1 hour, but be richly rewarded when you savor the delicious indo-chinese food.	space 4:9 RESTAURANT#MISCELLANEOUS
positive	FOOD#PRICES	meal	81:85	The wine list is extensive and can easily hike up an otherwise reasonably priced meal.	meal 81:85 FOOD#PRICES
negative	FOOD#QUALITY	lemon salad	26:37	With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.	lemon salad 26:37 FOOD#QUALITY
positive	FOOD#STYLE_OPTIONS	bagels	6:12	Great bagels made the old-fashioned way.	bagels 6:12 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	sushi	4:9	The sushi seemed pretty fresh and was adequately proportioned.	sushi 4:9 FOOD#QUALITY
positive	RESTAURANT#MISCELLANEOUS	Casa La Femme	23:36	I completely recommend Casa La Femme for any special occasion and to REALLY impress your date.	Casa La Femme 23:36 RESTAURANT#MISCELLANEOUS
positive	AMBIENCE#GENERAL	atomosphere	14:25	Cozy romantic atomosphere with only around 15 tables at most.	atomosphere 14:25 AMBIENCE#GENERAL
positive	FOOD#QUALITY	indian chinese food	21:40	This place has great indian chinese food.	indian chinese food 21:40 FOOD#QUALITY
positive	FOOD#QUALITY	Yellowtail	4:14	The Yellowtail was particularly good as well.	Yellowtail 4:14 FOOD#QUALITY
positive	FOOD#QUALITY	half price sushi deal	26:47	We took advanatage of the half price sushi deal on saturday so it was well worth it.	half price sushi deal 26:47 FOOD#QUALITY
positive	FOOD#QUALITY	meal	5:9	Best meal in a long time!	meal 5:9 FOOD#QUALITY
positive	FOOD#QUALITY	food	17:21	delicious simple food in nice outdoor atmosphere.	food 17:21 FOOD#QUALITY
positive	RESTAURANT#MISCELLANEOUS	place	8:13	A great place to meet up for some food and drinks...  	place 8:13 RESTAURANT#MISCELLANEOUS
positive	FOOD#QUALITY	cream cheeses	4:17	The cream cheeses are out of this world and I love that coffee!!	cream cheeses 4:17 FOOD#QUALITY
positive	FOOD#QUALITY	food	33:37	They have it all -- great price, food, and service.	food 33:37 FOOD#QUALITY
negative	SERVICE#GENERAL	service	4:11	The service leaves much to be desired, from feeling like you are rushed the place your order, to being ignored the rest of the night.	service 4:11 SERVICE#GENERAL
neutral	FOOD#QUALITY	lobster	0:7	lobster was good, nothing spectacular.	lobster 0:7 FOOD#QUALITY
neutral	AMBIENCE#GENERAL	environment	31:42	What you are paying for is the environment and the name.	environment 31:42 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	Water's Edge	22:34	Thank you everyone at Water's Edge.	Water's Edge 22:34 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Grilled Black Cod	13:30	I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon dish was better.	Grilled Black Cod 13:30 FOOD#QUALITY
positive	FOOD#QUALITY	bagels	44:50	Good spreads, great beverage selections and bagels really tasty.	bagels 44:50 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Shabu-Shabu Restaurant	17:39	This is the BEST Shabu-Shabu Restaurant in the Try-State Area.	Shabu-Shabu Restaurant 17:39 RESTAURANT#GENERAL
positive	FOOD#QUALITY	Pad Thai	8:16	Try the Pad Thai, it's fabulous and their prices are so cheap!	Pad Thai 8:16 FOOD#QUALITY
positive	AMBIENCE#GENERAL	ambience	11:19	I like the ambience, it's very dark and original.	ambience 11:19 AMBIENCE#GENERAL
positive	FOOD#PRICES	food	36:40	Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.	food 36:40 FOOD#PRICES
negative	AMBIENCE#GENERAL	place	5:10	This place is not inviting and the food is totally weird.	place 5:10 AMBIENCE#GENERAL
positive	FOOD#QUALITY	Lasagna Menu	158:170	I've also been amazed at all the new additions in the past few years: A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!	Lasagna Menu 158:170 FOOD#QUALITY
positive	RESTAURANT#GENERAL	place	63:68	I go and eat out at many different restaurants and this is one place you have go and try.	place 63:68 RESTAURANT#GENERAL
positive	AMBIENCE#GENERAL	setting	146:153	You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.	setting 146:153 AMBIENCE#GENERAL
negative	FOOD#STYLE_OPTIONS	all you can eat deal	30:50	I have reservations about the all you can eat deal, however -- the choices are fairly limited and you can probably order more food than you can eat for less than $18 by just going off the menu.	all you can eat deal 30:50 FOOD#STYLE_OPTIONS
negative	FOOD#QUALITY	calamari	23:31	You should pass on the calamari.	calamari 23:31 FOOD#QUALITY
positive	FOOD#QUALITY	cheeseburger	39:51	The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.	cheeseburger 39:51 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food was absolutely amazing!!	food 4:8 FOOD#QUALITY
positive	SERVICE#GENERAL	wait staff	17:27	Cute place, nice wait staff but would never go there again.	wait staff 17:27 SERVICE#GENERAL
negative	SERVICE#GENERAL	staff	79:84	All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.	staff 79:84 SERVICE#GENERAL
positive	SERVICE#GENERAL	service	16:23	Subtle food and service	service 16:23 SERVICE#GENERAL
positive	DRINKS#STYLE_OPTIONS	Wine list	0:9	Wine list is extensive without being over-priced.	Wine list 0:9 DRINKS#STYLE_OPTIONS
positive	FOOD#STYLE_OPTIONS	bagel	4:9	The bagel was huge.	bagel 4:9 FOOD#STYLE_OPTIONS
positive	DRINKS#STYLE_OPTIONS	wine list	39:48	The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.	wine list 39:48 DRINKS#STYLE_OPTIONS
positive	SERVICE#GENERAL	Service	0:7	Service is top notch.	Service 0:7 SERVICE#GENERAL
positive	RESTAURANT#GENERAL	Zucchero Pomodori	89:106	Everytime I decide to try another place on the UES, I get angry that I didn't just go to Zucchero Pomodori.	Zucchero Pomodori 89:106 RESTAURANT#GENERAL
positive	FOOD#QUALITY	shrimp scampi	4:17	The shrimp scampi was excellent and the antipasti were plentiful.	shrimp scampi 4:17 FOOD#QUALITY
positive	SERVICE#GENERAL	staff	4:9	The staff is incredibly helpful and attentive.	staff 4:9 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	food	4:8	The food options rule.	food 4:8 FOOD#STYLE_OPTIONS
positive	RESTAURANT#GENERAL	Cafe Spice	16:26	I've been to at Cafe Spice probably 5-8 times, it is probably still the best Indian restaurant around Union Square.	Cafe Spice 16:26 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	6:10	Great food, good size menu, great service and an unpretensious setting.	food 6:10 FOOD#QUALITY
negative	AMBIENCE#GENERAL	music	17:22	If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.	music 17:22 AMBIENCE#GENERAL
positive	RESTAURANT#GENERAL	place	12:17	my favorite place lol	place 12:17 RESTAURANT#GENERAL
positive	FOOD#QUALITY	food	19:23	It's all about the food !!	food 19:23 FOOD#QUALITY
negative	SERVICE#GENERAL	front of house staff	23:43	Fabulous food - if the front of house staff don't put you off – 	front of house staff 23:43 SERVICE#GENERAL
positive	FOOD#QUALITY	food	57:61	Went here last night - nice decor, good service, but the food was surprisingly excellent.	food 57:61 FOOD#QUALITY
positive	SERVICE#GENERAL	service	4:11	The service was friendly and the atmosphere was casual.	service 4:11 SERVICE#GENERAL
negative	SERVICE#GENERAL	Service	0:7	Service was also horrible and the ambience is not that great.	Service 0:7 SERVICE#GENERAL
negative	FOOD#PRICES	dinner	15:21	I do not think dinner in Manhattan should cost $400.00 where I am not swept off my feet.	dinner 15:21 FOOD#PRICES
negative	SERVICE#GENERAL	waiter	31:37	Immediately after we paid, the waiter took the money and said, okay, you guys are outta here.	waiter 31:37 SERVICE#GENERAL
positive	FOOD#STYLE_OPTIONS	toppings	43:51	amazing fresh dogs but best of all endless toppings!!!	toppings 43:51 FOOD#STYLE_OPTIONS
positive	FOOD#QUALITY	Thai food	16:25	Average to good Thai food, but terrible delivery.	Thai food 16:25 FOOD#QUALITY
negative	SERVICE#GENERAL	chef	43:47	Rather than preparing vegetarian dish, the chef presented me with a plate of steamed vegetables (minus sauce, seasoning, or any form or aesthetic presentation).	chef 43:47 SERVICE#GENERAL
negative	FOOD#QUALITY	pizza	80:85	Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.	pizza 80:85 FOOD#QUALITY
positive	LOCATION#GENERAL	location	4:12	Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.	location 4:12 LOCATION#GENERAL
positive	FOOD#QUALITY	food	44:48	Even though the place is not beautiful, the food speaks for itself.	food 44:48 FOOD#QUALITY
neutral	FOOD#QUALITY	slice of NYC pizza	17:35	A quintessential slice of NYC pizza.	slice of NYC pizza 17:35 FOOD#QUALITY
positive	FOOD#QUALITY	Uni Hand roll	16:29	He served me an Uni Hand roll, which I never had before, and let me tell you...IT WAS HEAVEN!	Uni Hand roll 16:29 FOOD#QUALITY
positive	RESTAURANT#GENERAL	Casa La Femme	14:27	Stepping into Casa La Femme last night was a true experience unlike any other in New York!	Casa La Femme 14:27 RESTAURANT#GENERAL
positive	RESTAURANT#PRICES	brasserie	191:200	Maybe it was the great company (I had friends visiting from Philly – yes, it was not a date this time) or the super reasonable price point, but I just can’t say enough good things about this brasserie.	brasserie 191:200 RESTAURANT#PRICES
positive	FOOD#QUALITY	dishes	24:30	I've enjoyed 99% of the dishes we've ordered with the only exceptions being the occasional too-authentic-for-me dish (I'm a daring eater but not THAT daring).	dishes 24:30 FOOD#QUALITY
positive	SERVICE#GENERAL	staff	9:14	Friendly staff that actually lets you enjoy your meal and the company you're with.	staff 9:14 SERVICE#GENERAL
positive	FOOD#QUALITY	calamari	12:20	Mussles and calamari were superb Saturday evening.	calamari 12:20 FOOD#QUALITY
positive	SERVICE#GENERAL	Service	0:7	Service was very good - prompt, attentive and non-intrusive.	Service 0:7 SERVICE#GENERAL
positive	FOOD#QUALITY	Seafood Dynamite	4:20	The Seafood Dynamite is also otherworldly.	Seafood Dynamite 4:20 FOOD#QUALITY
negative	FOOD#QUALITY	calzones	6:14	Their calzones are horrific, bad, vomit-inducing, YUCK.	calzones 6:14 FOOD#QUALITY
negative	FOOD#QUALITY	food	117:121	I am relatively new to the area and tried Pick a bgel on 2nd and was disappointed with the service and I thought the food was overated and on the pricey side.	food 117:121 FOOD#QUALITY
positive	FOOD#QUALITY	food	4:8	The food is great and they have a good selecion of wines at reasonable prices.	food 4:8 FOOD#QUALITY
negative	SERVICE#GENERAL	wait	4:8	The wait here is long for dim sum, but if you don't like sharing tables or if the typical raucous dim sum atmosphere is not your gig, this is a sleek (for Chinatown) alternative.	wait 4:8 SERVICE#GENERAL
